latitude,longitude,month,rainfall_mm,humidity_pct,temperature_c,wind_speed_kmh,elevation_m,slope_degree,soil_type,river_proximity_km,ndvi,risk_label
7.1,79.975,2024-12,148.9,98.1,25.8,12.6,4.1,2.0,clay,7.47,0.54,Warning
7.15,80.0,2023-07,241.7,95.9,26.3,17.2,84.9,11.8,sandy,9.55,0.75,Warning
7.05,79.95,2023-01,114.3,90.9,25.3,16.0,19.3,2.2,clay,5.55,0.59,Warning
7.0,80.35,2023-11,754.6,98.2,25.0,9.6,193.9,27.8,loam,15.0,0.79,Landslide
7.075,80.025,2024-02,27.6,91.3,28.1,16.8,86.0,16.6,loam,2.83,0.52,No Risk
7.0,79.875,2024-02,43.9,91.8,27.5,17.5,36.2,4.8,loam,6.21,0.49,No Risk
6.9,80.225,2024-11,482.2,98.3,25.0,12.6,111.9,8.1,sandy,15.0,0.77,Warning
6.95,79.875,2024-09,305.7,92.7,27.0,20.2,39.8,2.5,loam,2.78,0.63,Flood
7.1,80.05,2025-01,319.6,96.7,25.4,15.0,41.6,6.9,loam,2.22,0.65,Flood
7.0,80.125,2023-10,637.6,97.2,25.2,13.1,32.7,2.6,clay,12.17,0.58,Warning
7.0,80.075,2024-02,36.2,93.7,27.7,15.0,52.6,1.6,sandy,8.25,0.54,No Risk
6.925,80.275,2025-01,333.7,99.2,24.6,9.0,193.9,32.8,loam,15.0,0.76,Landslide
7.1,80.375,2025-01,330.3,98.9,24.9,9.7,126.9,33.0,sandy,13.74,0.82,Landslide
7.125,80.1,2023-02,90.5,94.5,25.5,13.9,39.1,1.8,loam,1.24,0.6,Flood
6.95,80.075,2024-09,378.4,97.8,26.0,16.8,54.5,2.1,loam,12.22,0.68,Warning
7.125,80.275,2024-02,22.2,92.2,27.0,16.0,199.1,34.9,sandy,4.23,0.59,No Risk
7.0,80.325,2023-03,204.5,95.7,24.4,9.5,237.4,27.0,sandy,15.0,0.84,Landslide
7.05,80.375,2025-02,45.5,98.5,20.7,10.8,212.7,17.2,sandy,15.0,0.69,No Risk
7.025,80.0,2024-04,232.2,98.6,28.0,12.9,75.1,17.7,clay,1.24,0.7,Landslide
6.95,80.175,2024-02,39.7,95.9,27.1,12.8,117.2,19.0,loam,15.0,0.61,No Risk
6.925,80.025,2024-06,391.0,97.2,26.3,17.3,52.5,3.1,clay,11.02,0.63,Warning
7.0,80.2,2023-03,164.0,97.5,25.8,10.3,62.8,13.7,sandy,11.1,0.67,Warning
7.075,80.225,2023-07,363.1,94.3,24.9,15.0,87.8,9.6,sandy,3.92,0.72,Warning
7.15,79.95,2023-07,244.2,95.2,26.6,18.2,35.5,5.1,loam,13.55,0.57,Warning
7.1,80.25,2023-04,145.4,96.2,26.5,12.4,182.6,19.8,loam,4.0,0.78,Landslide
7.0,79.975,2023-02,85.4,96.6,25.6,13.3,9.0,0.5,clay,1.67,0.55,Flood
7.05,79.975,2023-05,233.4,96.4,27.0,15.1,7.1,1.2,clay,3.72,0.58,Warning
7.075,80.25,2024-06,405.7,95.7,26.3,16.6,117.6,18.7,sandy,6.21,0.83,Landslide
7.025,79.85,2024-07,302.3,93.6,27.2,19.5,24.8,3.0,clay,10.01,0.62,Warning
7.025,80.0,2024-02,32.3,93.4,27.8,15.6,75.1,17.7,clay,1.24,0.56,No Risk
