latitude,longitude,month,rainfall_mm,humidity_pct,temperature_c,wind_speed_kmh,elevation_m,slope_degree,soil_type,river_proximity_km,ndvi,risk_label,unosat_flood,unosat_water,unosat_landslide,label_source
6.9,79.85,2023-01,85.9,91.1,25.2,17.3,6.2,1.0,clay,3.14,0.54,Warning,False,False,False,rule_based
6.9,79.85,2023-02,67.3,95.1,25.6,15.8,6.2,1.0,clay,3.14,0.48,Warning,False,False,False,rule_based
6.9,79.85,2023-03,141.2,95.9,26.5,13.1,6.2,1.0,clay,3.14,0.58,Flood,False,False,False,rule_based
6.9,79.85,2023-04,138.2,95.4,27.4,13.7,6.2,1.0,clay,3.14,0.61,Flood,False,False,False,rule_based
6.9,79.85,2023-05,238.3,94.7,27.4,17.0,6.2,1.0,clay,3.14,0.56,Flood,False,False,False,rule_based
6.9,79.85,2023-06,379.3,94.7,27.1,19.5,6.2,1.0,clay,3.14,0.56,Flood,False,False,False,rule_based
6.9,79.85,2023-07,250.1,92.9,26.9,21.0,6.2,1.0,clay,3.14,0.61,Flood,False,False,False,rule_based
6.9,79.85,2023-08,149.6,92.8,27.1,19.7,6.2,1.0,clay,3.14,0.59,Flood,False,False,False,rule_based
6.9,79.85,2023-09,554.6,95.0,26.0,19.3,6.2,1.0,clay,3.14,0.55,Flood,False,False,False,rule_based
6.9,79.85,2023-10,564.4,96.6,25.6,14.8,6.2,1.0,clay,3.14,0.58,Flood,False,False,False,rule_based
6.9,79.85,2023-11,488.6,97.5,25.6,12.0,6.2,1.0,clay,3.14,0.55,Flood,False,False,False,rule_based
6.9,79.85,2023-12,410.4,96.3,25.9,14.8,6.2,1.0,clay,3.14,0.55,Flood,False,False,False,rule_based
6.9,79.85,2024-01,138.1,94.3,26.0,14.2,6.2,1.0,clay,3.14,0.57,Flood,False,False,False,rule_based
6.9,79.85,2024-02,38.3,92.8,27.6,17.0,6.2,1.0,clay,3.14,0.35,Warning,False,False,False,rule_based
6.9,79.85,2024-03,79.9,94.9,28.1,16.7,6.2,1.0,clay,3.14,0.46,Warning,False,False,False,rule_based
6.9,79.85,2024-04,177.2,96.1,28.2,14.5,6.2,1.0,clay,3.14,0.55,Flood,False,False,False,rule_based
6.9,79.85,2024-05,656.3,95.1,27.8,20.1,6.2,1.0,clay,3.14,0.53,Flood,False,False,False,rule_based
6.9,79.85,2024-06,355.6,93.5,27.1,21.2,6.2,1.0,clay,3.14,0.57,Flood,False,False,False,rule_based
6.9,79.85,2024-07,316.0,93.6,27.2,19.0,6.2,1.0,clay,3.14,0.54,Flood,False,False,False,rule_based
6.9,79.85,2024-08,334.0,92.8,26.8,19.1,6.2,1.0,clay,3.14,0.52,Flood,False,False,False,rule_based
6.9,79.85,2024-09,310.4,92.9,27.1,20.0,6.2,1.0,clay,3.14,0.61,Flood,False,False,False,rule_based
6.9,79.85,2024-10,410.6,95.4,26.3,16.9,6.2,1.0,clay,3.14,0.56,Flood,False,False,False,rule_based
6.9,79.85,2024-11,354.2,96.4,25.8,15.1,6.2,1.0,clay,3.14,0.56,Flood,False,False,False,rule_based
6.9,79.85,2024-12,130.0,94.2,26.7,13.7,6.2,1.0,clay,3.14,0.52,Flood,False,False,False,rule_based
6.9,79.85,2025-01,278.6,94.9,25.7,14.2,6.2,1.0,clay,3.14,0.55,Flood,False,False,False,rule_based
6.9,79.85,2025-02,49.0,92.1,27.4,14.6,6.2,1.0,clay,3.14,0.44,Warning,False,False,False,rule_based
6.9,79.85,2025-03,124.6,94.8,27.3,11.6,6.2,1.0,clay,3.14,0.53,Flood,False,False,False,rule_based
6.9,79.85,2025-04,177.0,95.0,27.4,13.3,6.2,1.0,clay,3.14,0.57,Flood,False,False,False,rule_based
6.9,79.85,2025-05,274.2,94.1,27.8,18.1,6.2,1.0,clay,3.14,0.54,Flood,False,False,False,rule_based
6.9,79.85,2025-06,303.2,93.0,27.2,18.2,6.2,1.0,clay,3.14,0.55,Flood,False,False,False,rule_based
6.9,79.85,2025-07,262.1,91.8,27.2,19.2,6.2,1.0,clay,3.14,0.54,Flood,False,False,False,rule_based
6.9,79.85,2025-08,172.6,93.0,26.8,17.6,6.2,1.0,clay,3.14,0.62,Flood,False,False,False,rule_based
6.9,79.85,2025-09,251.5,92.7,26.9,17.5,6.2,1.0,clay,3.14,0.56,Flood,False,False,False,rule_based
6.9,79.85,2025-10,256.5,94.1,26.8,13.3,6.2,1.0,clay,3.14,0.53,Flood,False,False,False,rule_based
6.9,79.85,2025-11,556.3,94.7,26.1,16.1,6.2,1.0,clay,3.14,0.59,Flood,False,False,False,rule_based
6.9,79.85,2025-12,122.4,93.4,26.2,15.4,6.2,1.0,clay,3.14,0.53,Flood,False,False,False,rule_based
6.9,79.875,2023-01,85.9,91.1,25.2,17.3,6.6,1.0,clay,2.29,0.53,Warning,False,False,False,rule_based
6.9,79.875,2023-02,67.3,95.1,25.6,15.8,6.6,1.0,clay,2.29,0.42,Warning,False,False,False,rule_based
6.9,79.875,2023-03,141.2,95.9,26.4,13.1,6.6,1.0,clay,2.29,0.52,Flood,False,False,False,rule_based
6.9,79.875,2023-04,138.2,95.4,27.3,13.7,6.6,1.0,clay,2.29,0.57,Flood,False,False,False,rule_based
6.9,79.875,2023-05,238.3,94.7,27.3,17.0,6.6,1.0,clay,2.29,0.59,Flood,False,False,False,rule_based
6.9,79.875,2023-06,379.3,94.7,27.0,19.5,6.6,1.0,clay,2.29,0.57,Flood,False,False,False,rule_based
6.9,79.875,2023-07,250.1,92.9,26.9,21.0,6.6,1.0,clay,2.29,0.56,Flood,False,False,False,rule_based
6.9,79.875,2023-08,149.6,92.8,27.0,19.7,6.6,1.0,clay,2.29,0.55,Flood,False,False,False,rule_based
6.9,79.875,2023-09,554.6,95.0,26.0,19.3,6.6,1.0,clay,2.29,0.52,Flood,False,False,False,rule_based
6.9,79.875,2023-10,564.4,96.6,25.6,14.8,6.6,1.0,clay,2.29,0.54,Flood,False,False,False,rule_based
6.9,79.875,2023-11,488.6,97.5,25.5,12.0,6.6,1.0,clay,2.29,0.55,Flood,False,False,False,rule_based
6.9,79.875,2023-12,410.4,96.3,25.9,14.8,6.6,1.0,clay,2.29,0.59,Flood,False,False,False,rule_based
6.9,79.875,2024-01,138.1,94.3,26.0,14.2,6.6,1.0,clay,2.29,0.57,Flood,False,False,False,rule_based
6.9,79.875,2024-02,38.3,92.8,27.6,17.0,6.6,1.0,clay,2.29,0.36,Warning,False,False,False,rule_based
6.9,79.875,2024-03,79.9,94.9,28.1,16.7,6.6,1.0,clay,2.29,0.52,Warning,False,False,False,rule_based
6.9,79.875,2024-04,177.2,96.1,28.2,14.5,6.6,1.0,clay,2.29,0.55,Flood,False,False,False,rule_based
6.9,79.875,2024-05,656.3,95.1,27.7,20.1,6.6,1.0,clay,2.29,0.54,Flood,False,False,False,rule_based
6.9,79.875,2024-06,355.6,93.5,27.1,21.2,6.6,1.0,clay,2.29,0.58,Flood,False,False,False,rule_based
6.9,79.875,2024-07,316.0,93.6,27.2,19.0,6.6,1.0,clay,2.29,0.59,Flood,False,False,False,rule_based
6.9,79.875,2024-08,334.0,92.8,26.8,19.1,6.6,1.0,clay,2.29,0.59,Flood,False,False,False,rule_based
6.9,79.875,2024-09,310.4,92.9,27.0,20.0,6.6,1.0,clay,2.29,0.54,Flood,False,False,False,rule_based
6.9,79.875,2024-10,410.6,95.4,26.3,16.9,6.6,1.0,clay,2.29,0.55,Flood,False,False,False,rule_based
6.9,79.875,2024-11,354.2,96.4,25.8,15.1,6.6,1.0,clay,2.29,0.57,Flood,False,False,False,rule_based
6.9,79.875,2024-12,130.0,94.2,26.7,13.7,6.6,1.0,clay,2.29,0.59,Flood,False,False,False,rule_based
6.9,79.875,2025-01,278.6,94.9,25.6,14.2,6.6,1.0,clay,2.29,0.55,Flood,False,False,False,rule_based
6.9,79.875,2025-02,49.0,92.1,27.4,14.6,6.6,1.0,clay,2.29,0.43,Warning,False,False,False,rule_based
6.9,79.875,2025-03,124.6,94.8,27.3,11.6,6.6,1.0,clay,2.29,0.53,Flood,False,False,False,rule_based
6.9,79.875,2025-04,177.0,95.0,27.4,13.3,6.6,1.0,clay,2.29,0.53,Flood,False,False,False,rule_based
6.9,79.875,2025-05,274.2,94.1,27.8,18.1,6.6,1.0,clay,2.29,0.59,Flood,False,False,False,rule_based
6.9,79.875,2025-06,303.2,93.0,27.2,18.2,6.6,1.0,clay,2.29,0.6,Flood,False,False,False,rule_based
6.9,79.875,2025-07,262.1,91.8,27.2,19.2,6.6,1.0,clay,2.29,0.56,Flood,False,False,False,rule_based
6.9,79.875,2025-08,172.6,93.0,26.8,17.6,6.6,1.0,clay,2.29,0.59,Flood,False,False,False,rule_based
6.9,79.875,2025-09,251.5,92.7,26.9,17.5,6.6,1.0,clay,2.29,0.57,Flood,False,False,False,rule_based
6.9,79.875,2025-10,256.5,94.1,26.8,13.3,6.6,1.0,clay,2.29,0.54,Flood,False,False,False,rule_based
6.9,79.875,2025-11,556.3,94.7,26.1,16.1,6.6,1.0,clay,2.29,0.57,Flood,False,False,False,rule_based
6.9,79.875,2025-12,122.4,93.4,26.1,15.4,6.6,1.0,clay,2.29,0.61,Flood,False,False,False,rule_based
6.9,79.9,2023-01,85.9,91.1,25.2,17.3,7.0,1.1,clay,4.0,0.53,Warning,False,False,False,rule_based
6.9,79.9,2023-02,67.3,95.1,25.6,15.8,7.0,1.1,clay,4.0,0.53,Warning,False,False,False,rule_based
6.9,79.9,2023-03,141.2,95.9,26.4,13.1,7.0,1.1,clay,4.0,0.49,Warning,False,False,False,rule_based
6.9,79.9,2023-04,138.2,95.4,27.3,13.7,7.0,1.1,clay,4.0,0.59,Warning,False,False,False,rule_based
6.9,79.9,2023-05,238.3,94.7,27.3,17.0,7.0,1.1,clay,4.0,0.57,Warning,False,False,False,rule_based
6.9,79.9,2023-06,379.3,94.7,27.0,19.5,7.0,1.1,clay,4.0,0.56,Warning,False,False,False,rule_based
6.9,79.9,2023-07,250.1,92.9,26.9,21.0,7.0,1.1,clay,4.0,0.57,Warning,False,False,False,rule_based
6.9,79.9,2023-08,149.6,92.8,27.0,19.7,7.0,1.1,clay,4.0,0.5,Warning,False,False,False,rule_based
6.9,79.9,2023-09,554.6,95.0,26.0,19.3,7.0,1.1,clay,4.0,0.56,Warning,False,False,False,rule_based
